Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Timor and Arafura Seas,"Kimberley, Western Australia","Department of Biodiversity Conservation and Attractions, Western Australia.","Thomas Holmes, Claire Ross, Richard Evans, Molly Moustaka, William Robbins, Ellen D’Cruz",Existing point data,"Holmes, T., Ross, C., Evans, R., Moustaka, M., Robbins, W. & D'Cruz, E. Contribution of unpublished data 2020: Ecological monitoring in the Kimberley marine reserves, Department of Biodiversity, Conservation and Attractions, Perth."
Timor and Arafura Seas,"Kimberley, Western Australia",Western Australian Marine Science Institution (WAMSI),"Prof. Lindsay B Collins, Alexandra Stevens, Dr. Mick O’Leary, Dr. Giada Bufarale, Dr. Moataz Kordi, Dr. Tubagus Solihuddin",Existing Maps,"Collins, L. B., Stevens, A., O’Leary, M., Bufarale G., Kordi, M. & Solihuddin, T. (2015). Final Report of Project 1.3.1 of the Kimberley Marine Research Program Node of the Western Australian Marine Science Institution, WAMSI, Perth, Western Australia, 246pp.  Data sourced from Western Australian Marine Science Institution (WAMSI) project funded by Western Australian State Government and research partners and carried out by Collins et al from Curtin University Australia"
Timor and Arafura Seas,"Kimberley, Western Australia",Northern Development Taskforce (NDT),"Gary Fry, Andrew Heyward, Ian McLeod",Existing Maps,"Fry, G., Heyward, A. & McLeod, I. (2008). Benthic habitat surveys of potential LNG hub locations in the Kimberley region: Node 1 Project 1.3. Preliminary Report."
Timor and Arafura Seas,"Kimberley, Western Australia",Western Australian Marine Science Institution (WAMSI),"Dr. Andrew Heyward, Dr. Karen Miller, Dr. Jane Fromont, Dr. John Keesing, Dr. Iain Parnum",Existing point data,"Heyward, A., Miller, K., Fromont, J., Keesing, J. & Parnum, I. (Eds.) (2018). Kimberley Benthic Biodiversity SynthesisReport of Project 1.1.1 prepared for the Kimberley Marine Research Program, Western Australian Marine Science Institution, Perth, Western Australia, 57pp."
Timor and Arafura Seas,Timor Sea,SeaMap Australia: University of Tasmania,"Dr. Vanessa Lucieer, Peter Walsh, Dr. Emma Flukes, Claire Butler, Dr. Roger Proctor, Prof. Craig Johnson",Existing Maps,"Lucieer, V., Walsh, P., Flukes, E., Butler, C., Proctor, R. & Johnson, C. (2017). Seamap Australia - a national seafloor habitat classification scheme. Institute for Marine and Antarctic Studies (IMAS), University of Tasmania (UTAS)."
Tropical Eastern Pacific,Colombia - Gorgona Island,"Grupo de Ecología de Arrecifes Coralinos - Universidad del Valle (Cali, Colombia)","Dr. Carlos G. Muñoz, Prof. Fernando A. Zapata",Existing point data,"GPS tracks and Images of Azufrada, Playa Blanca, Muelle, Arrecifito  and Ventana Reefs. https://www.researchgate.net/publication/311993646_Plan_de_manejo_de_los_Arrecifes_Coralinos_del_Parque_Nacional_Natural_Gorgona_-_Pacifico_colombiano"
Tropical Eastern Pacific,Colombia - Gorgona Island,Universidad del Valle and Universidad Javeriana (Cali),"Coral Reef Ecology Research Group, led by Prof. Fernando A. Zapata and Dr. Mateo López-Victoria",Existing point data,"Rodríguez-Moreno, M., M. López-Victoria & J.F. Rivera-Cifuentes. 2020. Informe de monitoreo de arrecifes coralinos del Parque Nacional Natural Gorgona 2020. Unpublished technical report. Coral Reef Ecology Research Group, Universidad del Valle and Universidad Javeriana, Cali, Colombia. 21 p"
Tropical Eastern Pacific,"Mexico
Panama
Nicaragua","Ecosistemas y Conservación, Proazul Terrestre A.C.","Arturo Ayala Bocos , Dr. Jenny Carolina Rodriguez Villalobos",Existing point data,Field data collected and provided by Ecosistemas y Conservación Proazul Terrestre A.C.
Tropical Eastern Pacific,Mexico,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California (CICESE) - Laboratorio de Esclerocronología, Ecología y Pesquerías de la Zona Costera",Dr. Luis Eduardo Calderon,Existing point data,"Data provided by CICESE - Coral Reef Monitoring of the Mexican Pacific reefs  

Reyes Bonilla, H. (2005). Atlas de corales pétreos (Anthozoa: Scleractinia) del Pacífico mexicano (No. Sirsi) i970270779X). Centro de Investigación Científica y Educación Superior de Ensenada. 

Norzagaray-López, C. O., Calderón-Aguilera, L. E., Álvarez-Filip, L., Barranco-Servin, L. M., Cabral-Tena, R. A., Carricart-Ganivet, J. P., ... & Tortolero-Langarica, J. A. (2019). Arrecifes y comunidades coralinas. In Estado del Ciclo del Carbono: Agenda Azul y Verde. Programa Mexicano del Carbono. Texcoco, Estado de México, México (p. 716). 

Calderon-Aguilera, L. E., Reyes-Bonilla, H., Olán-González, M., Castañeda-Rivero, F. R., & Perusquía-Ardón, J. C. (2021). Estimated flows and biomass in a no-take coral reef from the eastern tropical Pacific through network analysis. Ecological Indicators, 123, 107359."
Tropical Eastern Pacific,Mexico - Revillagegido,"National Geographic, Pristine Seas",Dr. Alan Friedlander,Existing point data,Unpublished
Tropical Eastern Pacific,Panama,"Marine and Coastal Development Unit, Argyll and Bute Council","Benfield, S. L. (2007)",Published paper or report,"Benfield, S. L., Guzman, H. M., Mair, J. M., & Young, J. A. T. (2007). Mapping the distribution of coral reefs and associated sublittoral habitats in Pacific Panama: a comparison of optical satellite sensors and classification methodologies. International Journal of Remote Sensing, 28(22), 5047-5070."
Tropical Eastern Pacific,Colombia - Oceanic Reefs,José Benito Vives de Andréis Marine and Coastal Research Institute (INVEMAR),Díaz et al. (2000),Existing Maps,"Díaz, J., L. Barrios, M. Cendales, J. Garzón-Ferreira, J. Geister, M. López-Victoria, G. Ospina, F. Parra-Velandia, J. Pinzón., B. Vargas-Ángel, F. Zapata y S. Zea. 2000. Áreas coralinas de Colombia. INVEMAR, Serie Publicaciones Especiales No. 5, Santa Marta. 176pp. 
 
En: Atlas de Areas Coralinas de Colombia Fase II (WFS). https://areas-coralinas-de-colombia-invemar.hub.arcgis.com/datasets/atlas-de-areas-coralinas-de-colombia-fase-ii-wfs"
Tropical Eastern Pacific,Colombia - Gorgona Island,José Benito Vives de Andréis Marine and Coastal Research Institute (INVEMAR) ,Santiago Millan Cortes ,Existing point data,Georeferenced phototransects collected by INVEMAR 2012
Tropical Eastern Pacific,Costa Rica,Wildlife Conservation Association ,Dr. Vanessa Bézy,New georeferenced phototransects,Ground truth data collected by Wildlife Conservation Association for the Allen Coral Atlas
Tropical Eastern Pacific,Ecuador ,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Tropical Eastern Pacific,Costa Rica ,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Tropical Eastern Pacific,Colombia ,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Tropical Eastern Pacific,Nicaragua,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Tropical Eastern Pacific,Costa Rica,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Tropical Eastern Pacific,Colombia - Gorgona Island,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Tropical Eastern Pacific ,Panama ,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
"Western Africa
",São Tomé and Príncipe,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
"Western Africa
",Spain,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
"Western Africa
",Spain - La Palma Island,Cabildo Insular de La Palma ,Cabildo Insular de La Palma ,Existing Maps,"Cartografía de las comunidaedes bentónicas de los fondos litorales de las Isla de La Palma (2013) Martín-García, L., C. Sangil, L. Concepción-Francisco. & J. Barquín-Diez 2013. Cartografía de las comunidades bentónicas de los fondos litorales de la isla de La Palma. Ed. Consorcio Insular de la Reserva Mundial de la Biosfera La Palma. Santa Cruz de La Palma, 2012+ anexos + base cartográfica digital
https://www.opendatalapalma.es/datasets/fda32a95436149db92976db7f3b069de_3/explore?location=28.718846%2C-18.148864%2C14.18"
"Western Africa
",Spain,"Observatorio Ambiental Granadilla (OAG),  Universidad de Las Palmas de Gran Canaria (ULPGC)",Eugenio et al. (2015),Published paper or report,"Eugenio, F., Marcello, J., & Martin, J. (2015). High-resolution maps of bathymetry and benthic habitats in shallow-water environments using multispectral remote sensing imagery. IEEE Transactions on Geoscience and Remote Sensing, 53(7), 3539-3549."
"Western Africa
",Spain,"Instituto Oceanografía y Cambio Global (IOCAG), Universidad de Las Palmas de Gran Canaria (ULPGC)",Eugenio et al. (2017),Published paper or report,"Eugenio, F., Marcello, J., Martin, J., & Rodríguez-Esparragón, D. (2017). Benthic habitat mapping using multispectral high-resolution imagery: evaluation of shallow water atmospheric correction techniques. Sensors, 17(11), 2639."
Western Australia,Western Australia,"The Commonwealth Scientific and Industrial Research Organisation (CSIRO), Australia",Dr. Halina T. Kobryn,Existing Maps,"Kobryn, H. T., Wouters, K., Beckley, L. E., & Heege, T. (2013). Ningaloo reef: shallow marine habitats mapped using a hyperspectral sensor. PLoS One, 8(7), e70105. https://doi.org/10.1371/journal.pone.0070105 "
Western Australia,Western Australia,"Department of Biodiversity Conservation and Attractions, Western Australia.  ","Thomas Holmes, Claire Ross, Richard Evans, Molly Moustaka, William Robbins and Ellen D’Cruz",Existing point data,"Holmes, T., Ross, C., Evans, R., Moustaka, M., Robbins, W. & D'Cruz, E. Contribution of unpublished data 2020: Ecological monitoring in the Kimberley marine reserves, Department of Biodiversity, Conservation and Attractions, Perth."
Western Australia,Australia,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Western Australia,Australia - Western Australia,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Western Australia,Australia - Western Australia,SeaMap Australia: University of Tasmania,"Dr. Vanessa Lucieer, Peter Walsh, Dr. Emma Flukes, Claire Butler, Dr. Roger Proctor, Prof. Craig Johnson",Existing Maps,"Lucieer, V., Walsh, P., Flukes, E., Butler, C., Proctor, R. & Johnson, C. (2017). Seamap Australia - a national seafloor habitat classification scheme. Institute for Marine and Antarctic Studies (IMAS), University of Tasmania (UTAS). "
Western Australia,Australia - Western Australia,Australian Institute of Marine Science (AIMS),Dr. Katharina Fabricius,Existing point data,"Australian Institute of Marine Science (AIMS) - Surveys of Octocorals in the Rowley Shoals Marine Park and the Mermaid Reef National Marine Nature Reserve, Western Australia (2007)"
